type,name,begins,ends,location,details,stories
person,Charles Darwin,1809,1882,Britain,"Naturalist who proposed the theory of evolution by natural selection",Scientist
event,Publication of Origin of Species,1859,1860,Britain,"Publication of Darwin's revolutionary book on evolution",Scientific Milestones
person,Abraham Lincoln,1809,1865,America,"16th US President who led the Union through the Civil War",
event,American Civil War,1861,1865,America,"War between the Union and Confederate states over slavery and states' rights",
event,World War II,1939,1945,Global,"Major global conflict that reshaped international relations",
event,Renaissance,1300,1600,Europe,"Cultural rebirth period marked by advances in art and science",
event,American Revolution,1765,1783,North America,"Colonial uprising leading to American independence",
event,French Revolution,1789,1799,France,"Period of radical social and political upheaval",
event,Battle of Marathon,-490,-490,Greece,"A pivotal battle where the Athenians defeated the first Persian invasion of Greece.",Greek Wars;Persian Wars;Ancient Battles
event,Building of Parthenon,-447,-432,Greece,"Construction of the Parthenon temple on the Athenian Acropolis.",Greek Culture
event,First Olympic Games,-776,-776,Olympia,"The first recorded celebration of the ancient Olympic Games.",Greek Culture;Sports History
event,First Industrial Revolution,1760,1840,England,"The First Industrial Revolution marked the transition from hand production methods to machines, new chemical manufacturing and iron production processes, improved efficiency of water power, the increasing use of steam power, and the development of machine tools.",Industrial Revolution;Economic History
event,Spinning Jenny Invention,1764,1764,England,"The Spinning Jenny was invented by James Hargreaves. It was a multi-spindle spinning frame, and was one of the key developments in the industrialization of textile manufacturing during the early Industrial Revolution.",Industrial Revolution;Textile Industry
event,Steam Engine Improvements,1769,1784,England,"James Watt's improvements to the steam engine, including the separate condenser patent in 1769 and the sun and planet gear in 1784, greatly increased the efficiency and applications of steam power.",Industrial Revolution;Steam Power
